en-US,es-ES,fr-FR,de-DE,nl-NL,ru-RU,he-IL,ja-JP,zh-CN
Afghanistan,Afganistán,Afghanistan,Afghanistan,Afghanistan,Афганистан,אפגניסטן,アフガニスタン,阿富汗
Albania,Albania,Albanie,Albanien,Albanië,Албания,אלבניה,アルバニア,阿尔巴尼亚
Algeria,Argelia,Algérie,Algerien,Algerije,Алжир,אלג\'יריה,アルジェリア,阿尔及利亚
Angola,Angola,Angola,Angola,Angola,Ангола,אנגולה,アンゴラ,安哥拉
Antigua And Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua und Barbuda,Antigua en Barbuda,Антигуа и Барбуда,אנטיגואה וברבודה,アンティグア・バーブーダ,安提瓜和巴布达
Argentina,Argentina,Argentine,Argentinien,Argentinië,Аргентина,ארגנטינה,アルゼンチン,阿根廷
Armenia,Armenia,Arménie,Armenien,Armenië,Армения,ארמניה,アルメニア,亚美尼亚
Aruba,Aruba,Aruba,Aruba,Aruba,Аруба,ארובה,アルバ,阿鲁巴岛
Australia,Australia,Australie,Australien,Australië,Австралия,אוסטרליה,オーストラリア,澳大利亚
Austria,Austria,Autriche,Österreich,Oostenrijk,Австрия,אוסטריה,オーストリア,奥地利
Azerbaijan,Azerbaiyán,Azerbaïdjan,Aserbaidschan,Azerbeidzjan,Азербайджан,אזרבייג\'ן,アゼルバイジャン,阿塞拜疆
Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Багамские Острова,בהאמה,バハマ,巴哈马
Bahrain,Bahrein,Bahreïn,Bahrain,Bahrein,Бахрейн,בחריין,バーレーン,巴林
Bangladesh,Bangladesh,Bangladesh,Bangladesch,Bangladesh,Бангладеш,בנגלדש,バングラデシュ,孟加拉国
Barbados,Barbados,Barbade,Barbados,Barbados,Барбадос,ברבדוס,バルバドス,巴巴多斯
Belarus,Bielorrusia,Biélorussie,Belarus,Wit-Rusland,Беларусь,בלרוס,ベラルーシ,白俄罗斯
Belgium,Bélgica,Belgique,Belgien,België,Бельгия,בלגיה,ベルギー,比利时
Belize,Belice,Belize,Belize,Belize,Белиз,בליז,ベリーズ,伯利兹
Benin,Benin,Bénin,Benin,Benin,Бенин,בנין,ベナン,贝宁
Bermuda,Bermudas,Bermudes,Bermuda,Bermuda,Бермуды,ברמודה,バーミューダ,百慕大
Bhutan,Bhután,Bhoutan,Bhutan,Bhutan,Бутан,בהוטן,ブータン,不丹
Bolivia,Bolivia,Bolivie,Bolivien,Bolivia,Боливия,בוליביה,ボリビア,玻利维亚
Bosnia,Bosnia,Bosnie,Bosnien,Bosnië,Босния,בוסניה,ボスニア,波斯尼亚
Botswana,Botswana,Botswana,Botswana,Botswana,Ботсвана,בוטסואנה,ボツワナ,博茨瓦纳
Brazil,Brasil,Brésil,Brazilien,Brazilië,Бразилия,ברזיל,ブラジル,巴西
Brunei,Brunéi,Brunei,Brunei,Brunei,Бруней,ברוניי,ブルネイ,文莱
Bulgaria,Bulgaria,Bulgarie,Bulgarien,Bulgarije,Болгария,בולגריה,ブルガリア,保加利亚
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Буркина-Фасо,בורקינה פאסו,ブルキナファソ,布基纳法索
Burundi,Burundi,Burundi,Burundi,Burundi,Бурунди,בורונדי,ブルンジ,蒲隆地
Cambodia,Camboya,Cambodge,Kambodscha,Cambodja,Камбоджа,קמבודיה,カンボジア,柬埔寨
Cameroon,Camerún,Cameroun,Kamerun,Kameroen,Камерун,קמרון,カメルーン,喀麦隆
Canada,Canadá,Canada,Kanada,Canada,Канада,קנדה,カナダ,加拿大
Cayman Islands,Islas Caimán,Îles Caïmanes,Kaimaninseln,Caymaneilanden,Каймановы острова,איי קיימן,ケイマン諸島,开曼群岛
Central African Republic,República Centroafricana,République centrafricaine,Zentralafrikanische Republik,Centraal-Afrikaanse Republiek,Центральноафриканская Республика,הרפובליקה המרכז אפריקאית,中央アフリカ共和国,中非共和国
Chad,Chad,Tchad,Tschad,Tsjaad,Чад,צ׳אד,チャド,乍得
Chile,Chile,Chili,Chile,Chili,Чили,צ\'ילה,チリ,智利
China,China,Chine,China,China,Китай,סין,中国,中国
Colombia,Colombia,Colombie,Kolumbien,Colombia,Колумбия,קולומביה,コロンビア,哥伦比亚
Comoros,Comoras,Comores,Komoren,Comoren,Коморские Острова,קומורו,コモロ,科摩罗
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Коста-Рика,קוסטה ריקה,コスタリカ,哥斯达黎加
Croatia,Croacia,Croatie (Hrvatska),Kroatien,Kroatië,Хорватия,קרואטיה,クロアチア,克罗地亚
Cuba,Cuba,Cuba,Kuba,Cuba,Куба,קובה,キューバ,古巴
Cyprus,Chipre,Chypre,Zypern,Cyprus,Кипр,קפריסין,キプロス,塞浦路斯
Czech Republic,República Checa,République tchèque,Tschechische Republik,Tsjechische Republiek,Чешская Республика,הרפובליקה הצ\'כית,チェコ共和国,捷克共和国
Denmark,Dinamarca,Danemark,Dänemark,Denemarken,Дания,דנמרק,デンマーク,丹麦
Djibouti,Yibuti,Djibouti,Dschibuti,Djibouti,Джибути,ג׳יבוטי,ジブチ,吉布提
Dominica,Dominica,Dominique,Dominica,Dominica,Доминика,דומיניקה,ドミニカ国,多米尼加
Dominican Republic,República Dominicana,République dominicaine,Dominikanische Republik,Dominicaanse Republiek,Доминиканская Республика,הרפובליקה הדומיניקנית,ドミニカ共和国,多米尼加共和国
Ecuador,Ecuador,Équateur,Ecuador,Ecuador,Эквадор,אקוודור,エクアドル,厄瓜多尔
Egypt,Egipto,Égypte,Ägypten,Egypte,Египет,מצרים,エジプト,埃及
El Salvador,El Salvador,Salvador,El Salvador,El Salvador,Сальвадор,אל סלבדור,エルサルバドル,萨尔瓦多
Equatorial Guinea,Guinea Ecuatorial,Guinée équatoriale,Äquatorialguinea,Equatoriaal-Guinea,Экваториальная Гвинея,גינאה המשוונית,赤道ギニア,赤道几内亚
Estonia,Estonia,Estonie,Estland,Estland,Эстония,אסטוניה,エストニア,爱沙尼亚
Ethiopia,Etiopía,Éthiopie,Äthiopien,Ethiopië,Эфиопия,אתיופיה,エチオピア,埃塞俄比亚
Fiji,Fiji,Fidji,Fidschi,Fiji,Фиджи,פיג׳י,フィジー,斐济
Finland,Finlandia,Finlande,Finnland,Finland,Финляндия,פינלנד,フィンランド,芬兰
France,Francia,France,Frankreich,Frankrijk,Франция,צרפת,フランス,法国
Gabon,Gabón,Gabon,Gabun,Gabon,Габон,גבון,ガボン,加蓬
Gambia,Gambia,Gambie,Gambia,Gambia,Гамбия,גמביה,ガンビア,冈比亚
Georgia,Georgia,Géorgie,Georgien,Georgië,Грузия,גרוזיה,グルジア,格鲁吉亚
Germany,Alemania,Allemagne,Deutschland,Duitsland,Германия,גרמניה,ドイツ,德国
Ghana,Ghana,Ghana,Ghana,Ghana,Гана,גאנה,ガーナ,加纳
Greece,Grecia,Grèce,Griechenland,Griekenland,Греция,יוון,ギリシャ,希腊
Grenada,Granada,Grenade,Grenada,Grenada,Гренада,גרנדה,グレナダ,格林纳达
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Гватемала,גואטמלה,グアテマラ,危地马拉
Guinea,Guinea,Guinée,Guinea,Guinee,Гвинея,גינאה,ギニア,几内亚
Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,Guinee-Bissau,Гвинея-Бисау,גינאה ביסאו,ギニアビサウ,几内亚比绍
Guyana,Guyana,Guyana,Guyana,Guyana,Гайана,גיאנה,ガイアナ,圭亚那
Haiti,Haití,Haïti,Haiti,Haïti,Гаити,האיטי,ハイチ,海地
Honduras,Honduras,Honduras,Honduras,Honduras,Гондурас,הונדורס,ホンジュラス,洪都拉斯
Hong Kong,Hong Kong,Hong Kong,Hongkong,Hongkong,Гонконг,הונג קונג,香港,香港
Hungary,Hungría,Hongrie,Ungarn,Hongarije,Венгрия,הונגריה,ハンガリー,匈牙利
Iceland,Islandia,Islande,Island,IJsland,Исландия,איסלנד,アイスランド,冰岛
India,India,Inde,Indien,India,Индия,הודו,インド,印度
Indonesia,Indonesia,Indonésie,Indonesien,Indonesië,Индонезия,אינדונזיה,インドネシア,印度尼西亚
Iran,Irán,Iran,Iran,Iran,Иран,איראן,イラン,伊朗
Iraq,Irak,Irak,Irak,Irak,Ирак,עיראק,イラク,伊拉克
Ireland,Irlanda,Irlande,Irland,Ierland,Ирландия,אירלנד,アイルランド,爱尔兰
Isle Of Man,Isla de Man,Île de Man,Isle Of Man,Eiland Man,Остров Мэн,האי מאן,マン島,马纳岛
Israel,Israel,Israël,Israel,Israël,Израиль,ישראל,イスラエル,以色列
Italy,Italia,Italie,Italien,Italië,Италия,איטליה,イタリア,意大利
Jamaica,Jamaica,Jamaïque,Jamaika,Jamaica,Ямайка,ג\'מייקה,ジャマイカ,牙买加
Japan,Japón,Japon,Japan,Japan,Япония,יפן,日本,日本
Jordan,Jordania,Jordanie,Jordanien,Jordanië,Иордания,ירדן,ヨルダン,约旦
Kazakhstan,Kazajstán,Kazakhstan,Kasachstan,Kazachstan,Казахстан,קזחסטן,カザフスタン,哈萨克斯坦
Kenya,Kenia,Kenya,Kenia,Kenia,Кения,קניה,ケニア,肯尼亚
Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Кирибати,קיריבטי,キリバス,基里巴斯
Kuwait,Kuwait,Koweït,Kuwait,Koeweit,Кувейт,כוויית,クウェート,科威特
Latvia,Letonia,Lettonie,Lettland,Letland,Латвия,לטביה,ラトビア,拉托维亚
Lebanon,Líbano,Liban,Libanon,Libanon,Ливан,לבנון,レバノン,黎巴嫩
Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Лесото,לסוטו,レソト,莱索托
Liberia,Liberia,Libéria,Liberia,Liberia,Либерия,ליבריה,リベリア,利比里亚
Libya,Libia,Libye,Libyen,Libië,Ливия,לוב,リビア,利比亚
Lithuania,Lituania,Lituanie,Litauen,Litouwen,Литва,ליטא,リトアニア,立陶宛
Luxembourg,Luxemburgo,Luxembourg,Luxemburg,Luxemburg,Люксембург,לוקסמבורג,ルクセンブルク,卢森堡
Macao,Macao,Macao,Macao,Macao,Макао,מקאו,マカオ,澳门
Madagascar,Madagascar,Madagascar,Madagaskar,Madagaskar,Мадагаскар,מדגסקר,マダガスカル,马达加斯加
Malawi,Malawi,Malawi,Malawi,Malawi,Малави,מלאווי,マラウイ,马拉维
Malaysia,Malasia,Malaisie,Malaysien,Maleisië,Малайзия,מלזיה,マレーシア,马来西亚
Maldives,Maldivas,Maldives,Malediven,Maldiven,Мальдивы,האיים המלדיביים,モルディブ,马尔代夫
Mali,Malí,Mali,Mali,Mali,Мали,מאלי,マリ,马里
Malta,Malta,Malte,Malta,Malta,Мальта,מלטה,マルタ,马耳他
Marshall Islands,Islas Marshall,Îles Marshall,Marshallinseln,Marshalleilanden,Маршалловы Острова,איי מרשל,マーシャル諸島,马绍尔群岛
Mauritania,Mauritania,Mauritanie,Mauretanien,Mauritanië,Мавритания,מאוריטניה,モーリタニア,毛里塔尼亚
Mauritius,Mauricio,Maurice,Mauritius,Mauritius,Маврикий,מאוריציוס,モーリシャス,毛里求斯
Mexico,México,Mexique,Mexiko,Mexico,Мексика,מקסיקו,メキシコ,墨西哥
Micronesia,Micronesia,Micronésie,Mikronesien,Micronesië,Микронезия,מיקרונזיה,ミクロネシア,密克罗尼西亚
Moldova,Moldavia,Moldavie,Moldawien,Moldavië,Молдова,מולדובה,モルドバ,摩尔多瓦
Mongolia,Mongolia,Mongolie,Mongolei,Mongolië,Монголия,מונגוליה,モンゴル国,蒙古
Montenegro,Montenegro,Monténégro,Montenegro,Montenegro,Черногория,מונטנגרו,モンテネグロ,黑山
Morocco,Marruecos,Maroc,Marokko,Marokko,Марокко,מרוקו,モロッコ,摩洛哥
Mozambique,Mozambique,Mozambique,Mosambik,Mozambique,Мозамбик,מוזמביק,モザンビーク,莫桑比克
Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Мьянма,מיאנמר,ミャンマー,缅甸
Namibia,Namibia,Namibie,Namibia,Namibië,Намибия,נמיביה,ナミビア,纳米比亚
Nauru,Nauru,Nauru,Nauru,Nauru,Науру,נאורו,ナウル,瑙鲁
Nepal,Nepal,Népal,Nepal,Nepal,Непал,נפאל,ネパール,尼泊尔
Netherlands,Países Bajos,Pays-Bas,Niederlande,Nederland,Нидерланды,הולנד,オランダ,荷兰
New Zealand,Nueva Zelanda,Nouvelle-Zélande,Neuseeland,Nieuw-Zeeland,Новая Зеландия,ניו זילנד,ニュージーランド,新西兰
Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Никарагуа,ניקרגואה,ニカラグア,尼加拉瓜
Niger,Níger,Niger,Niger,Niger,Нигер,ניז׳ר,ニジェール,尼日尔
Nigeria,Nigeria,Nigéria,Nigeria,Nigeria,Нигерия,ניגריה,ナイジェリア,尼日利亚
Norway,Noruega,Norvège,Norwegen,Noorwegen,Норвегия,נורווגיה,ノルウェー,挪威
Oman,Omán,Oman,Oman,Oman,Оман,עומאן,オマーン,阿曼
Pakistan,Pakistán,Pakistan,Pakistan,Pakistan,Пакистан,פקיסטן,パキスタン,巴基斯坦
Palau,Palau,Palaos,Palau,Palau,Палау,פלאו,パラオ,帕劳
Panama,Panamá,Panama,Panama,Panama,Панама,פנמה,パナマ,巴拿马
Papua New Guinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Papua-neuguinea,Papoea-Nieuw-Guinea,Папуа-Новая Гвинея,פפואה גינאה החדשה,パプアニューギニア,巴布亚新几内亚
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Парагвай,פרגוואי,パラグアイ,巴拉圭
Peru,Perú,Pérou,Peru,Peru,Перу,פרו,ペルー,秘鲁
Philippines,Filipinas,Philippines,Philippinen,Filipijnen,Филиппины,הפיליפינים,フィリピン,菲律宾
Poland,Polonia,Pologne,Polen,Polen,Польша,פולין,ポーランド,波兰
Portugal,Portugal,Portugal,Portugal,Portugal,Португалия,פורטוגל,ポルトガル,葡萄牙
Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,Puerto Rico,Пуэрто-Рико,פורטו ריקו,プエルトリコ,波多黎各
Qatar,Qatar,Qatar,Katar,Qatar,Катар,קטאר,カタール,卡塔尔
Romania,Rumania,Roumanie,Rumänien,Roemenië,Румыния,רומניה,ルーマニア,罗马尼亚
Russia,Rusia,Russie,Russland,Rusland,Россия,רוסיה,ロシア,俄罗斯
Rwanda,Ruanda,Rwanda,Ruanda,Rwanda,Руанда,רואנדה,ルワンダ,卢旺达
Samoa,Samoa,Samoa,Samoa,Samoa,Самоа,סמואה,サモア,萨摩亚
Saudi Arabia,Arabia Saudí,Arabie Saoudite,Saudi-Arabien,Saudi-Arabië,Саудовская Аравия,ערב הסעודית,サウジアラビア,沙特阿拉伯
Senegal,Senegal,Sénégal,Senegal,Senegal,Сенегал,סנגל,セネガル,塞内加尔
Serbia,Serbia,Serbie,Serbien,Servië,Сербия,סרביה ומונטנגרו,セルビア,塞尔维亚
Seychelles,Seychelles,Seychelles,Seychellen,Seychellen,Сейшельские Острова,סיישל,セーシェル,塞舌尔
Sierra Leone,Sierra Leona,Sierra Leone,Sierra Leone,Sierra Leone,Сьерра-Леоне,סיירה לאונה,シエラレオネ,塞拉利昂
Singapore,Singapur,Singapour,Singapur,Singapore,Сингапур,סינגפור,シンガポール,新加坡
Slovenia,Eslovenia,Slovénie,Slowenien,Slovenië,Словения,סלובניה,スロベニア,斯洛文尼亚
Solomon Islands,Islas Salomón,Îles Salomon,Salomonen,Salomonseilanden,Соломоновы Острова,איי שלמה,ソロモン諸島,所罗门群岛
South Africa,Sudáfrica,Afrique du Sud,Südafrika,Zuid-Afrika,Южная Африка,דרום אפריקה,南アフリカ,南非
South Korea,Corea del Sur,Corée du Sud,Südkorea,Zuid-Korea,Южная Корея,דרום קוריאה,大韓民国,韩国
South Sudan,Sudán del Sur,Soudan du Sud,Südsudan,Zuid-Soedan,Южный Судан,דרום סודאן,南スーダン,南苏丹
Spain,España,Espagne,Spanien,Spanje,Испания,ספרד,スペイン,西班牙
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Шри-Ланка,סרי לנקה,スリランカ,斯里兰卡
Sudan,Sudán,Soudan,Sudan,Soedan,Судан,סודן,スーダン,苏丹
Suriname,Suriname,Suriname,Suriname,Suriname,Суринам,סורינאם,スリナム,苏里南
Sweden,Suecia,Suède,Schweden,Zweden,Швеция,שוודיה,スウェーデン,瑞典
Switzerland,Suiza,Suisse,Schweiz,Zwitserland,Швейцария,שוויץ,スイス,瑞士
Tajikistan,Tayikistán,Tadjikistan,Tadschikistan,Tadzjikistan,Таджикистан,טג'יקיסטן,タジキスタン,塔吉克斯坦
Tanzania,Tanzania,Tanzanie,Tansania,Tanzania,Танзания,טנזניה,タンザニア,坦桑尼亚
Thailand,Tailandia,Thaïlande,Thailand,Thailand,Таиланд,תאילנד,タイ,泰国
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Тимор-Лешти,טימור-לסטה,東ティモール,东帝汶
Togo,Togo,Togo,Togo,Togo,Того,טוגו,トーゴ,多哥
Tonga,Tonga,Tonga,Tonga,Tonga,Тонга,טונגה,トンガ,汤加
Trinidad And Tobago,Trinidad y Tobago,Trinité-et-Tobago,Trinidad und Tobago,Trinidad enTobago,Тринидад и Тобаго,טרינידד וטובגו,トリニダード・トバゴ,特立尼达和多巴哥
Tunisia,Túnez,Tunisie,Tunesien,Tunesië,Тунис,טוניסיה,チュニジア,突尼斯
Turkey,Turquía,Turquie,Turkei,Turkije,Турция,טורקיה,トルコ,土耳其
Turkmenistan,Turkmenistán,Turkménistan,Turkmenistan,Turkmenistan,Туркменистан,טורקמניסטן,トルクメニスタン,土库曼斯坦
Turks and Caicos,Turcos y caicos,Turcs et Caïques,Turks- und Caicos -Phass,Turks- en Caicoseilanden,Теркс и Кайкос,טורקס וקייקוס,タークス・カイコス諸島,特克斯和凯科斯群岛
Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Тувалу,טובאלו,ツバル,图瓦卢
United Arab Emirates,Emiratos Árabes Unidos,Émirats arabes unis,Vereinigte Arabische Emirate,Verenigde Arabische Emiraten,Объединённые Арабские Эмираты,איחוד האמירויות הערביות,アラブ首長国連邦,阿拉伯联合酋长国
Uganda,Uganda,Ouganda,Uganda,Oeganda,Уганда,אוגנדה,ウガンダ,乌干达
Ukraine,Ucrania,Ukraine,Ukraine,Oekraïne,Украина,אוקראינה,ウクライナ,乌克兰
United Kingdom,Reino Unido,Royaume-Uni,Vereinigtes Königreich,Verenigd Koninkrijk,Великобритания,בריטניה,英国,英国
United States,Estados Unidos,États-Unis,USA,Verenigde Staten,США,ארצות הברית,米国,美国
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Уругвай,אורוגוואי,ウルグアイ,乌拉圭
Uzbekistan,Uzbekistán,Ouzbékistan,Usbekistan,Oezbekistan,Узбекистан,אוזבקיסטן,ウズベキスタン,乌兹别克斯坦
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Вануату,ונואטו,バヌアツ,瓦努阿图
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Венесуэла,ונצואלה,ベネズエラ,委内瑞拉
Vietnam,Vietnam,Viêt Nam,Vietnam,Vietnam,Вьетнам,וייטנאם,ベトナム,越南
Yemen,Yemen,Yémen,Jemen,Jemen,Йемен,תימנית,イエメン,也门
Zambia,Zambia,Zambie,Sambia,Zambia,Замбия,זמביה,ザンビア,赞比亚
Zimbabwe,Zimbabue,Zimbabwe,Zimbabwe,Zimbabwe,Зимбабве,זימבבואה,ジンバブエ,津巴布韦
